College Name,Private,Apps,Accept,Enroll,Top10perc,Outstate,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,AccpetRate,Score
Loyola College,Yes,4076,3137,738,25,12990,86,14.7,27,9448,80,0.77,0
Loyola Marymount University,Yes,3768,2662,753,42,13592,84,14.2,10,11677,84,0.71,0
Loyola University,Yes,1891,1698,719,24,11100,77,11.7,14,9456,53,0.9,0
Loyola University Chicago,Yes,3579,2959,868,25,11500,94,6.2,15,13009,65,0.83,0
Luther College,Yes,1549,1392,587,38,13240,73,13.8,38,8949,77,0.9,0
Lycoming College,Yes,1286,1005,363,16,13900,75,14,32,8024,72,0.78,0
Lynchburg College,Yes,1756,1500,366,3,12450,62,12.4,24,8832,70,0.85,0
Lyndon State College,No,535,502,223,6,7320,48,12.6,15,7114,51,0.94,0
Macalester College,Yes,2939,1496,452,56,15909,85,11.9,37,14213,77,0.51,0
MacMurray College,Yes,740,558,177,12,9620,49,10.8,33,10642,59,0.75,0
Malone College,Yes,874,758,428,21,9858,42,17.6,16,4796,55,0.87,0
Manchester College,Yes,1004,802,239,23,10440,63,11.8,20,7940,64,0.8,0
Manhattan College,Yes,2432,1730,563,20,12370,92,13.6,25,10062,79,0.71,0
Manhattanville College,Yes,962,750,212,21,14700,97,11.3,24,11291,70,0.78,0
Mankato State University,No,3073,2672,1547,9,4300,57,19,11,5801,68,0.87,0
Marian College of Fond du Lac,Yes,824,670,337,15,9400,37,8.4,21,5352,59,0.81,0
Marietta College,Yes,1611,960,342,27,13850,80,13.2,30,10223,96,0.6,0
Marist College,Yes,4731,3171,830,12,10700,74,17.6,34,8408,69,0.67,0
Marquette University,Yes,5152,4600,1685,36,11610,86,13.5,25,9982,77,0.89,0
Marshall University,Yes,4226,3666,2007,14,5094,77,16.6,10,6203,50,0.87,0
Mary Baldwin College,Yes,499,441,199,26,11200,66,6.8,50,10819,90,0.88,0
Mary Washington College,No,4350,2178,756,39,6490,75,17.6,30,5358,84,0.5,0
Marymount College Tarrytown,Yes,478,327,117,9,11510,71,10.3,30,10502,77,0.68,0
Marymount Manhattan College,Yes,695,535,239,21,10200,63,11.7,20,10622,68,0.77,0
Marymount University,Yes,941,772,214,10,11390,77,10.6,17,8575,55,0.82,0
Maryville College,Yes,1464,888,176,26,11200,80,11.1,43,8317,51,0.61,0
Maryville University,Yes,549,397,169,26,9250,52,13.1,13,5925,61,0.72,0
Marywood College,Yes,1107,859,323,13,11040,65,11.8,30,9034,66,0.78,0
Massachusetts Institute of Technology,Yes,6411,2140,1078,96,20100,99,10.1,35,33541,94,0.33,0
Mayville State University,No,233,233,153,5,4486,68,15.7,11,6971,51,1,0
McKendree College,Yes,1002,555,119,16,7680,70,17.7,21,6652,52,0.55,0
McMurry University,Yes,578,411,187,25,6930,57,11,11,6383,32,0.71,0
McPherson College,Yes,420,293,93,11,7950,54,9.8,45,9754,48,0.7,0
Mercer University,Yes,2286,1668,564,37,11985,93,9.2,15,8995,91,0.73,0
Mercyhurst College,Yes,1557,1074,397,15,9813,45,16.7,29,7307,78,0.69,0
Meredith College,Yes,857,772,376,25,6720,77,13.9,33,6881,82,0.9,0
Merrimack College,Yes,1981,1541,514,18,12500,73,16.8,22,8707,80,0.78,0
Mesa State College,No,1584,1456,891,6,5016,48,28.8,12,3871,59,0.92,0
Messiah College,Yes,1742,1382,607,30,10300,68,14.1,30,7762,89,0.79,0
Miami University at Oxford,No,9239,7788,3290,35,8856,81,17.6,20,7846,85,0.84,0
Michigan State University,No,18114,15096,6180,23,10658,93,14,9,10520,71,0.83,0
Michigan Technological University,No,2618,2288,1032,42,8127,82,17,25,7473,65,0.87,0
MidAmerica Nazarene College,Yes,331,331,225,15,6840,33,15.4,20,5524,49,1,0
Millersville University of Penn.,No,6011,3075,960,22,7844,72,16.8,20,7832,71,0.51,0
Milligan College,Yes,610,461,189,26,8200,63,12,16,8128,64,0.76,0
Millikin University,Yes,1444,1261,456,29,11910,60,11.4,25,8149,75,0.87,0
Millsaps College,Yes,905,834,319,32,11320,82,12.7,38,11218,58,0.92,0
Milwaukee School of Engineering,Yes,1217,1088,496,36,11505,35,16.7,23,7140,67,0.89,0
Mississippi College,Yes,594,385,307,36,5580,77,16.5,18,6170,61,0.65,0
Mississippi State University,No,4255,3277,1609,18,9866,77,15.9,20,6223,53,0.77,0
Mississippi University for Women,No,480,405,380,19,4386,49,15.8,8,5704,63,0.84,0
Missouri Southern State College,No,1576,1326,913,13,3840,52,20.3,9,4172,100,0.84,0
Missouri Valley College,Yes,1310,983,316,5,8550,35,17.4,16,4333,27,0.75,0
Monmouth College IL,Yes,601,503,204,28,13000,91,11.6,43,11087,56,0.84,0
Monmouth College,Yes,2707,1881,478,14,12480,70,14.2,15,9492,54,0.69,0
Montana College of Mineral Sci. & Tech.,No,572,544,320,45,6073,71,16.4,31,6112,74,0.95,0
Montana State University,No,3500,2836,1779,15,5552,75,17.6,8,6324,37,0.81,0
Montclair State University,No,5220,2128,865,19,3648,82,21.5,9,6717,58,0.41,0
Montreat-Anderson College,Yes,263,223,103,10,8438,42,11.1,4,11989,15,0.85,0
Moorhead State University,No,2442,2164,1189,12,4426,76,18.1,19,4795,60,0.89,0
Moravian College,Yes,1232,955,303,23,14990,86,15.2,28,9566,74,0.78,0
Morehouse College,Yes,3708,1678,722,41,7050,71,17.8,10,8122,83,0.45,0
Morningside College,Yes,586,533,239,16,10520,48,13,32,8111,56,0.91,0
Morris College,Yes,882,730,330,2,4515,53,18.6,34,6990,60,0.83,0
Mount Holyoke College,Yes,1800,1314,526,47,19300,79,9,51,18359,84,0.73,0
Mount Marty College,Yes,279,276,126,17,6844,45,11.7,38,5073,44,0.99,0
Mount Mary College,Yes,235,217,121,12,8950,51,10.7,26,7016,78,0.92,0
Mount Mercy College,Yes,368,317,159,20,10500,44,11.3,30,6695,64,0.86,0
Mount Saint Clare College,Yes,325,284,95,16,9900,32,13.6,43,6525,21,0.87,0
Mount Saint Mary's College,Yes,1321,1159,328,15,12850,77,12.8,36,8536,80,0.88,0
Mount Saint Mary College,Yes,1170,695,238,14,7470,74,15.3,23,6898,88,0.59,0
Mount St. Mary's College,Yes,657,537,113,37,12474,53,11.9,19,10613,72,0.82,0
Mount Union College,Yes,1310,1086,458,26,12250,85,16.7,35,7215,81,0.83,0
Mount Vernon Nazarene College,Yes,510,485,334,18,7400,57,19.8,7,6869,58,0.95,0
Muhlenberg College,Yes,2519,1836,462,30,16975,76,12.8,39,10888,83,0.73,0
Murray State University,No,2225,1910,1190,29,4738,72,20.2,27,5972,52,0.86,0
Muskingum College,Yes,1109,922,375,24,13240,73,13.4,27,9333,73,0.83,0
National-Louis University,Yes,513,347,279,23,9090,62,18.3,2,7905,71,0.68,0
Nazareth College of Rochester,Yes,947,798,266,36,10850,77,13.6,24,8797,61,0.84,0
New Jersey Institute of Technology,No,1879,1216,483,27,8832,92,13.5,19,12529,72,0.65,0
New Mexico Institute of Mining and Tech.,No,787,601,233,40,5376,99,13.7,11,9241,34,0.76,0
New York University,Yes,13594,7244,2505,70,17748,87,7.8,16,21227,71,0.53,0
Newberry College,Yes,872,722,154,14,10194,57,11.4,32,5788,83,0.83,0
Niagara University,Yes,2220,1796,467,65,10320,68,14.2,20,7788,65,0.81,0
North Adams State College,No,1563,1005,240,1,5542,65,14.2,17,6562,57,0.64,0
North Carolina A. & T. State University,No,4809,3089,1429,12,6806,72,16.7,9,7090,44,0.64,0
North Carolina State University at Raleigh,No,10634,7064,3176,39,8400,92,17.5,21,9670,62,0.66,0
North Carolina Wesleyan College,Yes,812,689,195,7,8242,77,12.7,11,10090,52,0.85,0
North Central College,Yes,1127,884,308,30,11718,73,16.4,33,8871,76,0.78,0
North Dakota State University,No,2968,2297,1610,13,5834,79,17,24,6310,42,0.77,0
North Park College,Yes,465,361,176,19,12580,76,13.1,24,10889,74,0.78,0
Northeast Missouri State University,No,6040,4577,1620,36,4856,69,15.7,13,6601,76,0.76,0
Northeastern University,Yes,11901,8492,2517,16,13380,73,12.9,17,9563,46,0.71,0
Northern Arizona University,No,5891,4931,1973,23,6746,78,21.7,7,6157,41,0.84,0
Northern Illinois University,No,10706,7219,2397,12,7799,73,17.3,11,6086,56,0.67,0
Northwest Missouri State University,No,2729,2535,1257,8,3735,62,21.7,23,5284,54,0.93,0
Northwest Nazarene College,Yes,616,514,385,29,9840,59,14.8,20,6261,58,0.83,0
Northwestern College,Yes,860,811,366,22,9900,68,14.9,34,6357,68,0.94,0
Northwestern University,Yes,12289,5200,1902,85,16404,96,6.8,25,26385,92,0.42,0
Norwich University,Yes,1743,1625,626,8,14134,71,13.1,22,9209,63,0.93,0
Notre Dame College,Yes,379,324,107,15,9990,44,12.1,26,4948,33,0.85,0
Oakland University,No,3041,2581,1173,16,9114,88,19.7,13,6637,53,0.85,0
Oberlin College,Yes,4778,2767,678,50,19670,77,10.1,47,16593,83,0.58,0
Occidental College,Yes,2324,1319,370,52,16560,91,10.5,30,16196,79,0.57,0
Oglethorpe University,Yes,792,649,186,56,12900,91,13.1,27,8568,67,0.82,0
Ohio Northern University,Yes,2936,2342,669,35,15990,73,14.5,31,9979,83,0.8,0
Ohio University,No,11023,8298,3183,21,7629,79,20.4,13,8811,64,0.75,0
Ohio Wesleyan University,Yes,2190,1700,458,36,16732,93,12.1,32,12011,75,0.78,0
Oklahoma Baptist University,Yes,758,681,484,35,5390,63,15.1,18,5511,50,0.9,0
Oklahoma Christian University,Yes,776,765,351,22,6400,58,16.2,8,6578,45,0.99,0
Oklahoma State University,No,4522,3913,2181,29,5336,84,15.3,14,6433,48,0.87,0
Otterbein College,Yes,1496,1205,428,26,12888,62,13.9,30,8802,87,0.81,0
Ouachita Baptist University,Yes,910,773,450,31,6530,63,13.3,10,6413,65,0.85,0
Our Lady of the Lake University,Yes,2308,1336,295,22,8530,56,14.9,25,7114,37,0.58,0
Pace University,Yes,8256,3750,1522,37,11000,90,13.8,10,10059,62,0.45,0
Pacific Lutheran University,Yes,1603,1392,504,31,13312,78,11,23,9431,83,0.87,0
Pacific Union College,Yes,940,668,385,20,11925,48,12.3,12,9157,69,0.71,0
Pacific University,Yes,943,849,288,41,14210,76,10.9,22,11216,42,0.9,0
Pembroke State University,No,944,774,440,14,6360,77,15,5,6443,48,0.82,0
Pennsylvania State Univ. Main Campus,No,19315,10344,3450,48,10645,77,18.1,19,8992,63,0.54,0
Pepperdine University,Yes,3821,2037,680,86,18200,95,11.6,13,16185,66,0.53,0
Peru State College,No,701,501,458,10,2580,48,20.1,24,4870,44,0.71,0
Pfeiffer College,Yes,838,651,159,11,8640,62,12.2,13,7634,48,0.78,0
Philadelphia Coll. of Textiles and Sci.,Yes,1538,1259,468,19,11690,48,12.9,15,8028,68,0.82,0
Phillips University,Yes,692,576,174,19,10500,58,11.6,19,8990,39,0.83,0
Piedmont College,Yes,663,562,127,20,5640,89,13.2,17,7309,31,0.85,0
Pikeville College,Yes,404,400,169,28,6000,48,13.4,14,5557,61,0.99,0
Pitzer College,Yes,1133,630,220,37,17688,100,10.4,11,14820,73,0.56,0
Point Loma Nazarene College,Yes,809,687,428,20,10178,71,16.1,19,7895,54,0.85,0
Point Park College,Yes,875,744,207,7,9700,45,14.5,10,7652,66,0.85,0
Polytechnic University,Yes,1132,847,302,58,16200,90,10.4,14,14329,62,0.75,0
Prairie View A. and M. University,No,2405,2234,1061,10,4290,55,19.4,1,5967,35,0.93,0
Presbyterian College,Yes,1082,832,302,34,11859,80,13.4,42,8354,85,0.77,0
Princeton University,Yes,13218,2042,1153,90,19900,91,8.4,54,28320,99,0.15,0
Providence College,Yes,5139,3346,973,20,14400,66,18.4,35,8135,96,0.65,0
Purdue University at West Lafayette,No,21804,18744,5874,29,9556,86,18.2,15,8604,67,0.86,0
Queens College,Yes,516,392,154,32,11020,73,14,36,9315,58,0.76,0
Quincy University,Yes,1025,707,297,22,10100,69,16.3,32,6880,80,0.69,0
Quinnipiac College,Yes,3712,2153,806,17,12030,63,12,33,8847,86,0.58,0
Radford University,No,5702,4894,1742,15,6684,73,19.6,9,4519,62,0.86,0
Ramapo College of New Jersey,No,2088,957,362,6,4449,74,17.8,8,7333,47,0.46,0
Randolph-Macon College,Yes,1771,1325,306,21,13840,77,10.7,38,11080,74,0.75,0
Randolph-Macon Woman's College,Yes,696,616,169,35,13970,88,9.2,24,16358,68,0.89,0
Reed College,Yes,1966,1436,327,47,19960,90,11.8,37,15886,68,0.73,0
Regis College,Yes,427,385,143,18,12700,81,10.3,37,11758,84,0.9,0
Rensselaer Polytechnic Institute,Yes,4996,4165,936,53,17475,94,15.4,21,15605,70,0.83,0
Rhodes College,Yes,2302,1831,391,58,15200,90,10.8,47,13388,77,0.8,0
Rider University,Yes,3586,2424,730,16,13250,84,12.3,23,11299,70,0.68,0
Ripon College,Yes,587,501,211,28,15200,87,9.4,49,12472,64,0.85,0
Rivier College,Yes,484,386,141,6,9870,59,12.2,19,6744,81,0.8,0
Roanoke College,Yes,2227,1790,437,27,13425,85,13,26,9405,72,0.8,0
Rockhurst College,Yes,935,858,345,22,9490,60,10.7,21,7519,79,0.92,0
Rocky Mountain College,Yes,560,392,270,11,8734,56,11.3,27,6422,68,0.7,0
Roger Williams University,Yes,3304,2804,679,10,12520,44,16.4,8,7957,61,0.85,0
Rollins College,Yes,1777,1151,382,31,16425,81,13.3,23,11561,90,0.65,0
Rosary College,Yes,434,321,141,28,10950,79,12.9,30,9264,81,0.74,0
Rowan College of New Jersey,No,3820,1431,695,21,4356,76,22.1,6,7252,51,0.37,0
Rutgers at New Brunswick,No,48094,26330,4520,36,7410,90,19.5,19,10474,77,0.55,0
Rutgers State University at Camden,No,3366,1752,232,27,7411,90,18.6,12,10134,57,0.52,0
Rutgers State University at Newark,No,5785,2690,499,26,7410,90,17.4,16,11878,58,0.46,0
Sacred Heart University,Yes,2307,1896,509,19,11070,71,14.8,16,7120,82,0.82,0
Saint Ambrose University,Yes,897,718,276,12,10450,56,14.1,16,7444,70,0.8,0
Saint Anselm College,Yes,2095,1553,514,15,12950,70,14.5,29,6719,97,0.74,0
Saint Cloud State University,No,3971,3306,1921,10,4259,70,18.9,10,4629,58,0.83,0
Saint Francis College IN,Yes,213,166,85,13,8670,43,12.5,4,7440,48,0.78,0
Saint Francis College,Yes,1046,824,284,21,10880,64,19.3,24,7344,69,0.79,0
Saint John's University,Yes,933,800,444,18,12247,76,12,38,9853,70,0.86,0
Saint Joseph's College IN,Yes,920,684,225,24,11200,55,14.8,19,7360,67,0.74,0
Saint Joseph's College,Yes,833,682,217,12,9985,53,27.2,8,4322,85,0.82,0
Saint Joseph's University,Yes,2519,2003,776,39,12750,84,17.4,13,8243,83,0.8,0
Saint Joseph College,Yes,292,241,96,20,12200,87,11.2,32,8680,76,0.83,0
Saint Louis University,Yes,3294,2855,956,44,11690,84,4.6,19,18367,67,0.87,0
Saint Mary's College,Yes,888,734,393,26,12730,74,9.9,31,11165,98,0.83,0
Saint Mary's College of Minnesota,Yes,876,802,367,14,10800,68,18.8,19,5081,78,0.92,0
Saint Mary-of-the-Woods College,Yes,150,130,88,23,10300,44,10.2,37,9678,75,0.87,0
Saint Michael's College,Yes,1910,1380,463,16,13030,79,14.5,34,10190,84,0.72,0
Saint Olaf College,Yes,2248,1673,745,38,14350,82,10,31,12502,83,0.74,0
Saint Peter's College,Yes,1606,1413,530,23,9408,78,12.1,22,7669,53,0.88,0
Saint Vincent College,Yes,700,595,278,19,10850,62,12.3,31,8534,88,0.85,0
Saint Xavier University,Yes,785,647,295,15,10860,87,13.7,15,8953,55,0.82,0
Salem-Teikyo University,Yes,489,384,120,23,10575,46,13,9,8946,98,0.79,0
Salem College,Yes,335,284,132,28,10475,68,11.2,46,9599,60,0.85,0
Salisbury State University,No,4216,2290,736,20,5130,73,17.9,18,5125,56,0.54,0
Samford University,Yes,1680,1395,691,34,8236,74,14.7,17,9533,61,0.83,0
San Diego State University,No,9402,7020,2151,20,8384,87,19.5,7,7930,41,0.75,0
Santa Clara University,Yes,4019,2779,888,40,13584,88,13.9,19,10872,100,0.69,0
Sarah Lawrence College,Yes,1380,768,263,57,19300,89,6.1,18,14779,83,0.56,0
Savannah Coll. of Art and Design,Yes,1109,688,386,20,8325,14,16.1,26,6874,55,0.62,0
Schreiner College,Yes,584,413,131,19,8955,51,11.8,23,8545,52,0.71,0
Scripps College,Yes,855,632,139,60,17238,95,8.2,41,18372,73,0.74,0
Seattle Pacific University,Yes,1183,1016,411,42,12669,83,16.8,20,10368,66,0.86,0
Seattle University,Yes,2115,1540,494,28,12825,85,12.2,16,10175,89,0.73,0
Seton Hall University,Yes,4576,3565,1000,16,12000,81,14.4,15,10080,64,0.78,0
Seton Hill College,Yes,936,794,197,24,11240,71,11.2,37,10065,71,0.85,0
Shippensburg University of Penn.,No,5818,3281,1116,14,7844,80,18.8,13,6719,72,0.56,0
Shorter College,Yes,540,445,165,23,7210,62,13.2,18,7356,58,0.82,0
Siena College,Yes,2961,1932,628,24,10800,71,14.1,42,8189,100,0.65,0
Siena Heights College,Yes,464,419,183,10,9240,29,7.2,17,9431,47,0.9,0
Simmons College,Yes,1003,782,295,23,16160,74,8.9,33,14086,79,0.78,0
Simpson College,Yes,1016,872,300,27,11250,66,15.8,36,7411,70,0.86,0
Sioux Falls College,Yes,437,400,211,13,8990,73,14.8,7,7881,48,0.92,0
Skidmore College,Yes,4293,2728,591,25,18710,87,12.7,29,14837,81,0.64,0
Smith College,Yes,2925,1598,632,51,18820,85,10.3,44,21199,90,0.55,0
South Dakota State University,No,2807,2589,1701,13,3811,62,15,29,5084,67,0.92,0
Southeast Missouri State University,No,2281,1870,1408,18,4680,75,17.1,8,5916,45,0.82,0
Southeastern Oklahoma State Univ.,No,818,700,447,20,3738,55,19.6,9,4444,53,0.86,0
Southern California College,Yes,385,340,193,18,9520,63,18.6,11,8219,43,0.88,0
Southern Illinois University at Edwardsville,No,2540,2195,994,13,5472,76,16.5,8,7498,43,0.86,0
Southern Methodist University,Yes,4301,3455,1166,41,12772,74,13.5,17,12726,72,0.8,0
Southwest Baptist University,Yes,1093,1093,642,12,7070,52,15.9,13,4718,71,1,0
Southwest Missouri State University,No,6118,5254,3204,15,4740,70,19.9,11,4632,56,0.86,0
Southwest State University,No,1047,938,511,13,4285,58,16.5,31,6591,51,0.9,0
Southwestern Adventist College,Yes,321,318,172,11,7536,44,13,12,5309,36,0.99,0
Southwestern College,Yes,213,155,75,28,7200,56,11.8,12,7818,52,0.73,0
Southwestern University,Yes,1244,912,352,44,11850,83,11.3,35,12995,67,0.73,0
Spalding University,Yes,283,201,97,10,8400,50,10.6,40,6860,89,0.71,0
Spelman College,Yes,3713,1237,443,47,7000,73,12.5,18,9988,65,0.33,0
Spring Arbor College,Yes,372,362,181,15,8600,48,15.4,9,10938,49,0.97,0
St. Bonaventure University,Yes,1489,1313,375,13,10456,91,17.7,32,9828,78,0.88,0
St. John's College,Yes,323,278,122,31,16150,63,7.2,26,15622,64,0.86,0
St. John Fisher College,Yes,1368,1064,354,19,10570,86,14.5,29,7908,66,0.78,0
St. Lawrence University,Yes,2753,1820,505,31,18720,90,11.5,38,14980,85,0.66,0
St. Martin's College,Yes,191,165,63,5,11550,43,14.5,8,9209,40,0.86,0
St. Mary's College of California,Yes,2643,1611,465,36,13332,88,16.1,17,9619,78,0.61,0
St. Mary's College of Maryland,No,1340,695,285,42,6800,84,11.6,23,10357,63,0.52,0
St. Mary's University of San Antonio,Yes,1243,1020,414,33,8678,82,16.2,7,7651,72,0.82,0
St. Norbert College,Yes,1334,1243,568,30,12140,74,15.1,36,8595,88,0.93,0
St. Paul's College,Yes,651,581,243,8,5000,45,14,8,8426,45,0.89,0
St. Thomas Aquinas College,Yes,861,609,215,10,8650,69,16.1,13,6534,67,0.71,0
Stephens College,Yes,450,405,194,17,13900,46,10.9,17,9995,59,0.9,0
Stetson University,Yes,1557,1227,489,37,12315,85,12.5,24,10307,73,0.79,0
Stevens Institute of Technology,Yes,1768,1249,380,51,16900,89,19,33,12837,79,0.71,0
Stockton College of New Jersey,No,4019,1579,710,23,3040,78,19.5,7,5599,64,0.39,0
Stonehill College,Yes,3646,2300,585,25,12170,79,13,30,7495,97,0.63,0
SUNY at Albany,No,13528,9198,1843,16,6550,93,17.4,16,9075,74,0.68,0
SUNY at Binghamton,No,14463,6166,1757,60,6550,83,18,15,8055,80,0.43,0
SUNY at Buffalo,No,15039,9649,3087,36,6550,90,13.6,15,11177,56,0.64,0
SUNY at Stony Brook,No,12512,6969,1724,27,6550,91,10.5,7,13705,57,0.56,0
SUNY College  at Brockport,No,7294,3564,904,7,6550,79,19,14,6632,49,0.49,0
SUNY College  at Oswego,No,8000,4556,1464,17,6550,69,22,21,5280,63,0.57,0
SUNY College at Buffalo,No,5318,3515,1025,8,6550,71,18.7,12,7511,42,0.66,0
SUNY College at Cortland,No,7888,3519,1036,6,6550,82,17.8,17,5563,53,0.45,0
SUNY College at Fredonia,No,4877,2798,814,13,6550,82,16.3,10,6442,66,0.57,0
SUNY College at Geneseo,No,8598,4562,1143,56,6550,79,19.1,25,5716,76,0.53,0
SUNY College at New Paltz,No,8399,3609,656,19,6550,85,15.3,8,6608,53,0.43,0
SUNY College at Plattsburgh,No,5549,3583,853,9,6550,80,17.9,16,6174,65,0.65,0
SUNY College at Potsdam,No,3150,2289,650,16,6840,71,15.1,17,6436,59,0.73,0
SUNY College at Purchase,No,2119,1264,390,5,6550,80,14.9,8,8170,46,0.6,0
Susquehanna University,Yes,2096,1512,465,27,16130,83,13.9,37,10554,90,0.72,0
Sweet Briar College,Yes,462,402,146,36,14500,91,6.5,48,18953,61,0.87,0
Syracuse University,Yes,10477,7260,2442,28,15150,73,11.3,13,14231,67,0.69,0
Tabor College,Yes,257,183,109,19,7850,55,10,15,7233,53,0.71,0
Talladega College,Yes,4414,1500,335,30,5666,56,15.5,7,5970,46,0.34,0
Taylor University,Yes,1769,1092,437,41,10965,60,14.2,32,8294,98,0.62,0
Tennessee Wesleyan College,Yes,232,182,99,7,7070,59,8.9,16,6286,36,0.78,0
Texas A&M Univ. at College Station,No,14474,10519,6392,49,5130,89,23.1,29,8471,69,0.73,0
Texas A&M University at Galveston,No,529,481,243,22,4860,103,17.4,16,6415,43,0.91,0
Texas Christian University,Yes,4095,3079,1195,33,8490,81,14.8,23,9158,64,0.75,0
Texas Lutheran College,Yes,497,423,215,27,7850,54,13.8,24,7002,50,0.85,0
Texas Southern University,No,4345,3245,2604,15,7860,65,18.2,21,3605,10,0.75,0
Texas Wesleyan University,Yes,592,501,279,19,6400,80,14.5,10,7936,43,0.85,0
The Citadel,No,1500,1242,611,12,7070,95,17.1,17,7744,84,0.83,0
Thiel College,Yes,1154,951,253,15,11172,68,11.6,16,9186,60,0.82,0
Tiffin University,Yes,845,734,254,5,7600,59,19,40,5096,39,0.87,0
Transylvania University,Yes,759,729,244,57,10900,81,12.1,41,10219,70,0.96,0
Trenton State College,No,5042,2312,944,55,5391,81,14.4,6,8504,81,0.46,0
Tri-State University,Yes,1262,1102,276,14,9456,53,12.8,24,7603,65,0.87,0
Trinity College CT,Yes,3058,1798,478,46,18810,91,10.4,48,18034,91,0.59,0
Trinity College DC,Yes,247,189,100,19,11412,89,8.3,37,11806,96,0.77,0
Trinity College VT,Yes,222,185,91,16,11010,58,10.4,26,9586,78,0.83,0
Trinity University,Yes,2425,1818,601,62,12240,94,9.6,20,14703,93,0.75,0
Tulane University,Yes,7033,5125,1223,47,19040,98,9.1,21,16920,74,0.73,0
Tusculum College,Yes,626,372,145,12,7700,70,21.9,28,4933,52,0.59,0
Tuskegee University,Yes,2267,1827,611,20,6735,70,12.2,7,10872,65,0.81,0
Union College KY,Yes,484,384,177,9,7800,60,14.1,9,6864,64,0.79,0
Union College NY,Yes,3495,1712,528,49,18732,94,11.5,49,15411,88,0.49,0
Univ. of Wisconsin at OshKosh,No,4800,2900,1515,14,6874,73,19.2,14,5901,56,0.6,0
University of Alabama at Birmingham,No,1797,1260,938,24,4440,96,6.7,16,16352,33,0.7,0
University of Arkansas at Fayetteville,No,3235,3108,2133,25,5028,73,14.8,10,6820,39,0.96,0
University of California at Berkeley,No,19873,8252,3215,95,11648,93,15.8,10,13919,78,0.42,0
University of California at Irvine,No,15698,10775,2478,85,12024,96,16.1,11,15934,66,0.69,0
University of Central Florida,No,6986,2959,1918,25,6618,80,22.2,9,6742,46,0.42,0
University of Charleston,Yes,682,535,204,22,9500,26,2.5,10,7683,57,0.78,0
University of Chicago,Yes,6348,2999,922,68,18930,99,5.3,36,36854,90,0.47,0
University of Cincinnati,No,6855,5553,2408,26,8907,89,10.8,6,13889,54,0.81,0
University of Connecticut at Storrs,No,9735,7187,2064,23,11656,89,16,16,10178,71,0.74,0
University of Dallas,Yes,681,588,246,44,10760,85,13.4,26,8731,63,0.86,0
University of Dayton,Yes,6361,5293,1507,26,11380,81,14.8,25,8894,93,0.83,0
University of Delaware,Yes,14446,10516,3252,22,10220,82,18.3,15,10650,75,0.73,0
University of Denver,Yes,2974,2001,580,29,15192,84,15.9,21,11762,67,0.67,0
University of Detroit Mercy,Yes,927,731,415,24,11130,72,13.5,14,10891,51,0.79,0
University of Dubuque,Yes,576,558,137,11,10430,85,16.5,18,8767,45,0.97,0
University of Evansville,Yes,2096,1626,694,35,11800,60,15.8,26,7780,77,0.78,0
University of Florida,No,12445,8836,3623,54,7090,88,13.4,20,14737,66,0.71,0
University of Georgia,No,11220,7871,3320,43,5697,88,14.7,22,7881,63,0.7,0
University of Hartford,Yes,5081,4040,1194,11,14220,61,10.7,9,10625,66,0.8,0
University of Hawaii at Manoa,No,3580,2603,1627,36,4460,85,11.8,6,12833,54,0.73,0
University of Illinois - Urbana,No,14939,11652,5705,52,7560,87,17.4,13,8559,81,0.78,0
University of Illinois at Chicago,No,8384,5727,2710,22,7230,82,10,6,13883,34,0.68,0
University of Indianapolis,Yes,1487,1276,388,26,11120,55,11.1,23,6735,69,0.86,0
University of Kansas,No,8579,5561,3681,25,6994,88,13.7,17,9657,57,0.65,0
University of La Verne,Yes,1597,969,226,16,13540,66,14.1,23,10139,47,0.61,0
University of Louisville,No,4777,3057,1823,16,6540,84,11.1,24,10207,31,0.64,0
University of Maine at Farmington,No,1208,803,438,20,6810,67,15.9,26,5712,59,0.66,0
University of Maine at Machias,No,441,369,172,17,6600,46,15.1,4,5935,64,0.84,0
University of Maine at Presque Isle,No,461,381,235,10,6600,67,15.2,11,6408,35,0.83,0
University of Maryland at Baltimore County,No,4269,2594,985,27,8594,82,18.4,6,7618,55,0.61,0
University of Maryland at College Park,No,14292,10315,3409,22,8723,89,18.1,12,9021,63,0.72,0
University of Massachusetts at Amherst,No,14438,12414,3816,12,8566,88,16.7,15,10276,68,0.86,0
University of Massachusetts at Dartmouth,No,3347,2597,1006,10,6919,74,15,20,7462,56,0.78,0
University of Miami,Yes,7122,5386,1643,42,16500,82,5.9,17,17500,59,0.76,0
University of Michigan at Ann Arbor,No,19152,12940,4893,66,15732,90,11.5,26,14847,87,0.68,0
University of Minnesota at Duluth,No,4192,3126,1656,15,8828,79,19,11,6393,53,0.75,0
University of Minnesota at Morris,No,1458,874,588,56,9843,74,14.6,16,6716,51,0.6,0
University of Minnesota Twin Cities,No,11054,6397,3524,26,8949,88,12.2,37,16122,45,0.58,0
University of Mississippi,No,3844,3383,1669,26,4916,81,20.3,14,6971,53,0.88,0
University of Missouri at Columbia,No,6574,4637,2940,32,9057,87,12.7,15,10145,58,0.71,0
University of Missouri at Rolla,No,1877,1826,823,49,9057,88,14.4,23,9699,49,0.97,0
University of Missouri at Saint Louis,No,1618,1141,479,18,7246,71,13.4,15,6433,48,0.71,0
